City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,18.15,58,3,0.78,RU,clear sky
1,hermanus,-34.4187,19.2345,14.89,82,97,4.99,ZA,overcast clouds
2,badger,64.8,-147.5333,17.12,84,100,2.06,US,overcast clouds
3,margaret river,-33.95,115.0667,16.23,69,100,6.74,AU,overcast clouds
4,kodiak,57.79,-152.4072,11.73,94,75,0.0,US,broken clouds
5,tuy hoa,13.0833,109.3,26.04,79,100,3.98,VN,overcast clouds
6,lihue,21.9789,-159.3672,25.77,79,75,5.66,US,light rain
7,ushuaia,-54.8,-68.3,3.81,75,75,9.26,AR,broken clouds
8,hillsboro,45.5229,-122.9898,24.13,55,100,0.89,US,overcast clouds
9,port-aux-francais,-49.35,70.2167,1.88,63,19,13.89,TF,few clouds
10,kingston,17.997,-76.7936,34.58,64,20,4.63,JM,few clouds
11,grytviken,-54.2811,-36.5092,-5.24,75,50,1.55,GS,scattered clouds
12,papao,-17.75,-149.55,20.82,61,0,1.83,PF,clear sky
13,agdam,39.991,46.9274,25.88,53,100,3.15,AZ,overcast clouds
14,longyearbyen,78.2186,15.6401,14.91,47,0,6.69,SJ,clear sky
15,constantia,44.1833,28.65,29.38,39,0,5.55,RO,clear sky
16,arar,30.9753,41.0381,45.01,4,0,5.14,SA,clear sky
17,sinabang,2.4803,96.3801,26.38,83,69,1.33,ID,broken clouds
18,ola,59.5833,151.2833,10.21,90,77,0.82,RU,broken clouds
19,thinadhoo,0.5333,72.9333,28.21,73,26,1.28,MV,scattered clouds
20,saint-philippe,-21.3585,55.7679,22.77,87,62,6.61,RE,light rain
21,bardai,11.65,7.2333,33.97,34,82,3.41,NG,broken clouds
22,port elizabeth,-33.918,25.5701,16.16,77,79,4.12,ZA,broken clouds
23,rikaze,29.25,88.8833,12.48,71,98,0.19,CN,overcast clouds
24,invercargill,-46.4,168.35,7.91,86,75,5.53,NZ,broken clouds
25,nadym,65.5333,72.5167,16.07,58,29,2.7,RU,scattered clouds
26,aransas pass,27.9095,-97.15,35.03,83,0,3.13,US,haze
27,talnakh,69.4865,88.3972,6.23,94,100,2.12,RU,light rain
28,ondjiva,-17.0667,15.7333,28.02,16,0,5.66,AO,clear sky
29,ribeira grande,38.5167,-28.7,23.21,73,75,5.14,PT,broken clouds
30,hawaiian paradise park,19.5933,-154.9731,21.13,87,0,3.09,US,clear sky
31,whitehorse,60.7161,-135.0538,17.28,57,20,5.14,CA,few clouds
32,bredasdorp,-34.5322,20.0403,15.58,76,94,2.48,ZA,overcast clouds
33,sisimiut,66.9395,-53.6735,7.13,90,100,0.95,GL,light rain
34,seosan,36.7817,126.4522,22.3,97,98,1.42,KR,overcast clouds
35,qaqortoq,60.7167,-46.0333,5.88,94,98,3.26,GL,light rain
36,maceio,-9.6658,-35.7353,28.69,65,75,5.66,BR,broken clouds
37,waitangi,-43.9535,-176.5597,9.34,81,100,11.64,NZ,overcast clouds
38,port mathurin,-19.6833,63.4167,23.42,80,1,12.24,MU,clear sky
39,san luis de la loma,17.2706,-100.8939,31.44,59,47,2.1,MX,scattered clouds
40,watsa,3.0372,29.5355,23.23,70,90,0.98,CD,overcast clouds
41,iqaluit,63.7506,-68.5145,7.85,100,100,3.6,CA,overcast clouds
42,enewetak,11.3474,162.3373,28.01,80,100,6.13,MH,overcast clouds
43,georgetown,5.4112,100.3354,28.96,79,20,1.03,MY,few clouds
44,saipan,15.1355,145.701,29.39,100,40,5.14,MP,scattered clouds
